incident_place,incident_weekday,part_of_the_day,latitude,longitude,crime_risk_score,murder_risk,rape_risk,kidnap_risk,bodyfound_risk,robbery_risk,assault_risk,total_crimes,total_murders,total_rapes,total_kidnaps,total_bodyfounds,total_robberys,total_assaults,risk_level,marker_radius,dominant_crime
abhaynagar,friday,morning,23.01667,89.43333,0.1339972885950965,0.0,0.1339972885950965,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,7.009959328926447,rape_risk
abhaynagar,friday,night,23.01667,89.43333,0.11430327776051283,0.0,0.11430327776051283,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.714549166407693,rape_risk
abhaynagar,saturday,night,23.01667,89.43333,0.2425140756457505,0.09700563025830021,0.0,0.0,0.1455084453874503,0.0,0.0,5,2,0,0,3,0,0,Low,8.637711134686258,bodyfound_risk
abhaynagar,sunday,morning,23.01667,89.43333,0.11995734829709519,0.11995734829709519,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.799360224456428,murder_risk
abhaynagar,sunday,night,23.01667,89.43333,0.09414107045359052,0.0,0.0,0.0,0.09414107045359052,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.412116056803858,bodyfound_risk
abhaynagar,sunday,noon,23.01667,89.43333,0.11275161898708476,0.11275161898708476,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.691274284806271,murder_risk
abhaynagar,thursday,afternoon,23.01667,89.43333,0.11236140695879429,0.0,0.0,0.0,0.0,0.0,0.11236140695879429,1,0,0,0,0,0,1,Very Low,6.6854211043819145,assault_risk
abhaynagar,thursday,morning,23.01667,89.43333,0.12048281576096616,0.12048281576096616,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,0,0,Very Low,6.807242236414492,murder_risk
abhaynagar,thursday,noon,23.01667,89.43333,0.1127454823618364,0.0,0.0,0.0,0.1127454823618364,0.0,0.0,1,0,0,0,1,0,0,Very Low,6.691182235427546,bodyfound_risk
abhaynagar,tuesday,night,23.01667,89.43333,0.11897202915505084,0.0,0.11897202915505084,0.0,0.0,0.0,0.0,1,0,1,0,0,0,0,Very Low,6.784580437325762,rape_risk
abhaynagar,wednesday,night,23.01667,89.43333,0.2115900099545232,0.0528975024886308,0.15869250746589242,0.0,0.0,0.0,0.0,4,1,3,0,0,0,0,Low,8.173850149317849,rape_risk
